rating,style,name,brewery,abv,ibu
(2.92),Lager - Euro,Heineken,Heineken,"
                        5% ABV                    ","
                        19 IBU                    "
rating,style,name,brewery,abv,ibu
(2.92),Lager - Euro,Heineken,Heineken,"
                        5% ABV                    ","
                        19 IBU                    "
